Assemblies	final.contigs
Alcanivorax_pacificus_W11_5	50277
Aurantimonas_manganoxydans_SI85_9A1	5656
Conexibacter_woesei_Iso977N	59964
Desulfitibacter_alkalitolerans_DSM_16504	7034
Desulfuromonas_acetoxidans_DSM_684	43647
Desulfuromonas_thiophila	47390
Fluviicola_taffensis_DSM_16823	15418
Gracilibacteria_bacterium_JGI_0000069_P22	0
Ilumatobacter_coccineus_YM16_304	55845
Modicisalibacter_tunisiensis	225882
Neisseria_sp._CSL_7565	4137
Nitrospina_gracilis	76748
Nitrospina_sp._SCGC_AAA288_L16	37222
Oceanicola_granulosus_HTCC2516	31451
Owenweeksia_hongkongensis_DSM_17368	28483
Paracoccus_aminophilus	5280
Porticoccus_hydrocarbonoclasticus_MCTG13d	1313
Pseudoruegeria_aquimaris	117721
Rhodopirellula_sp._SM50	5524
Roseobacter_sp._SK209_2_6	6503
Shewanella_amazonensis_SB2B	5025
Simiduia_sp._J_MY2	35307
Sinobacterium_caligoides	13836
Sphingobium_fuliginis	38466
Streptomyces_cyaneogriseus_subsp._noncyanogenus	37438
Sulfitobacter_sp._NAS_14.1	4573
Synechococcus_sp._KORDI_49	7320
Syntrophus_aciditrophicus	10893
Tenacibaculum_skagerrakense	33664
Thioalkalivibrio_sp._ALJ17	333849
Thioalkalivibrio_sulfidiphilus_HL_EbGr7	333849
Thiohalobacter_thiocyanaticus	504732
Ulvibacter_litoralis	36872
Xanthomonas_citri_subsp._malvacearum	3795
alpha_proteobacterium_BAL199	69245
endosymbiont_of_Ridgeia_piscesae	734407
gamma_proteobacterium_SCGC_AB_629_P17	1299
marine_gamma_proteobacterium_HTCC2080	49761
marine_metagenome	3858
mine_drainage_metagenome	-
