S1	E1	S2	E2	Reference	Contig	IDY	Ambiguous	Best_group
CONTIG	k105_130322	1201	unaligned
CONTIG	k105_21721	2332	unaligned
CONTIG	k105_130326	539	unaligned
CONTIG	k105_21725	626	unaligned
CONTIG	k105_130328	647	unaligned
CONTIG	k105_21726	573	unaligned
CONTIG	k105_21727	719	unaligned
CONTIG	k105_130330	712	unaligned
CONTIG	k105_21732	592	unaligned
CONTIG	k105_43444	1118	unaligned
CONTIG	k105_43446	566	unaligned
CONTIG	k105_43447	1049	unaligned
CONTIG	k105_97741	2851	unaligned
CONTIG	k105_43448	705	unaligned
CONTIG	k105_43451	605	unaligned
CONTIG	k105_97742	1551	unaligned
CONTIG	k105_86880	821	unaligned
CONTIG	k105_86881	824	unaligned
CONTIG	k105_86882	1145	unaligned
CONTIG	k105_86884	731	unaligned
CONTIG	k105_162901	728	unaligned
CONTIG	k105_108601	666	unaligned
CONTIG	k105_162902	848	unaligned
CONTIG	k105_108602	989	unaligned
CONTIG	k105_108603	737	unaligned
CONTIG	k105_108605	1524	unaligned
CONTIG	k105_162906	2178	unaligned
CONTIG	k105_86885	1038	unaligned
CONTIG	k105_152038	521	unaligned
CONTIG	k105_86886	830	unaligned
CONTIG	k105_152039	1018	unaligned
CONTIG	k105_86887	685	unaligned
CONTIG	k105_152040	792	unaligned
CONTIG	k105_86888	1869	unaligned
CONTIG	k105_86889	889	unaligned
CONTIG	k105_86890	1352	unaligned
CONTIG	k105_0	822	unaligned
CONTIG	k105_119462	558	unaligned
CONTIG	k105_119464	525	unaligned
CONTIG	k105_3	757	unaligned
CONTIG	k105_119465	1639	unaligned
CONTIG	k105_54301	737	unaligned
CONTIG	k105_119466	646	unaligned
CONTIG	k105_54302	530	unaligned
CONTIG	k105_119467	742	unaligned
CONTIG	k105_119469	589	unaligned
CONTIG	k105_54305	826	unaligned
CONTIG	k105_54306	600	unaligned
CONTIG	k105_65160	511	unaligned
CONTIG	k105_21736	559	unaligned
CONTIG	k105_21737	571	unaligned
CONTIG	k105_65162	1221	unaligned
CONTIG	k105_21739	581	unaligned
CONTIG	k105_21740	824	unaligned
CONTIG	k105_21741	710	unaligned
CONTIG	k105_21743	957	unaligned
CONTIG	k105_162907	646	unaligned
CONTIG	k105_5	1713	unaligned
CONTIG	k105_6	510	unaligned
CONTIG	k105_162908	1266	unaligned
CONTIG	k105_7	626	unaligned
CONTIG	k105_9	636	unaligned
CONTIG	k105_162909	2351	unaligned
CONTIG	k105_162910	744	unaligned
CONTIG	k105_12	1292	unaligned
CONTIG	k105_97744	3395	unaligned
CONTIG	k105_97746	579	unaligned
CONTIG	k105_108606	3521	unaligned
CONTIG	k105_97748	1472	unaligned
CONTIG	k105_97749	662	unaligned
CONTIG	k105_108607	920	unaligned
CONTIG	k105_86891	726	unaligned
CONTIG	k105_43452	1037	unaligned
CONTIG	k105_86893	599	unaligned
CONTIG	k105_43453	961	unaligned
CONTIG	k105_43455	995	unaligned
CONTIG	k105_43456	606	unaligned
CONTIG	k105_86894	3501	unaligned
CONTIG	k105_86895	539	unaligned
CONTIG	k105_86896	512	unaligned
CONTIG	k105_141180	595	unaligned
CONTIG	k105_141182	515	unaligned
CONTIG	k105_32580	1446	unaligned
CONTIG	k105_141183	824	unaligned
CONTIG	k105_32582	611	unaligned
CONTIG	k105_141187	710	unaligned
CONTIG	k105_32583	1400	unaligned
CONTIG	k105_141188	911	unaligned
CONTIG	k105_141189	670	unaligned
CONTIG	k105_76021	989	unaligned
CONTIG	k105_130336	507	unaligned
CONTIG	k105_130338	566	unaligned
CONTIG	k105_76026	502	unaligned
CONTIG	k105_76027	528	unaligned
CONTIG	k105_130341	657	unaligned
CONTIG	k105_76028	569	unaligned
CONTIG	k105_130342	639	unaligned
CONTIG	k105_130344	610	unaligned
CONTIG	k105_76030	1143	unaligned
CONTIG	k105_54308	1983	unaligned
CONTIG	k105_54309	898	unaligned
CONTIG	k105_54314	1747	unaligned
CONTIG	k105_54315	846	unaligned
CONTIG	k105_54316	793	unaligned
CONTIG	k105_54318	532	unaligned
CONTIG	k105_21745	566	unaligned
CONTIG	k105_10860	531	unaligned
CONTIG	k105_21747	686	unaligned
CONTIG	k105_21748	855	unaligned
CONTIG	k105_21749	1159	unaligned
CONTIG	k105_10862	2825	unaligned
CONTIG	k105_152041	4283	unaligned
CONTIG	k105_97750	2370	unaligned
CONTIG	k105_97752	1330	unaligned
CONTIG	k105_97754	710	unaligned
CONTIG	k105_97756	627	unaligned
CONTIG	k105_152043	4688	unaligned
CONTIG	k105_162911	1375	unaligned
CONTIG	k105_162913	781	unaligned
CONTIG	k105_65164	4290	unaligned
CONTIG	k105_65166	756	unaligned
CONTIG	k105_65167	798	unaligned
CONTIG	k105_162915	1510	unaligned
CONTIG	k105_15	531	unaligned
CONTIG	k105_162918	675	unaligned
CONTIG	k105_19	674	unaligned
CONTIG	k105_162919	1268	unaligned
CONTIG	k105_21	582	unaligned
CONTIG	k105_65170	551	unaligned
CONTIG	k105_23	539	unaligned
CONTIG	k105_65171	1123	unaligned
CONTIG	k105_26	1282	unaligned
CONTIG	k105_65173	1053	unaligned
CONTIG	k105_108609	2388	unaligned
CONTIG	k105_65175	1070	unaligned
CONTIG	k105_108610	514	unaligned
CONTIG	k105_65176	521	unaligned
CONTIG	k105_86898	576	unaligned
